name,lat,lng,url
Kleeblatt-Skulptur,48.110246,7.850596,http://lh3.googleusercontent.com/dtCRYWbBni3u5tTuFIB_nApirsFYjatsp0O2s-mW2U9tL3IUiFS6H4uL7nNXW7YE3IHs85-x2JRnCnr59w00
Gedenkstein,48.094131,7.842857,http://lh3.ggpht.com/h7dIn7qrS8ayTQK_D5CLG4Coe9Me9nl70TtXdCzN7fYahGzp-Nn3dqabEx0nP8q1gGalu5puqfn5CnKJt7T2
Klettergerüst ,48.097331,7.89876,http://lh5.ggpht.com/WuSm8H70U8Z78-AXLyOG3PGPVGUCUuDqYsToSxEtkoQPKaZXgWfqJaVr5SAEIDHhkJIKul3OtPvhKXz-LV8
Stone Fingaz,48.102191,7.905929,http://lh3.googleusercontent.com/CiicziiFFAumeT0OA3-ZZ_mAk6fvRE04YJjbTD8HCt4yeoFEzsilhK-4CCF3gwmniPB3VRDHI2lxyY6_Zr3MZQ
Schützenhaus Sexau,48.09825,7.898898,http://lh4.ggpht.com/TRNfG7iTl3uMizQsRTpjFui0xNi2kaJCO3tPOj0aaEIsxANnXkZe2VkqqYntZNbP2bhx-5h9sG-jj7Wv8hV7nw
Alte Weinpresse,48.096141,7.899897,http://lh3.ggpht.com/sG5qDlS6VXxEkJhuJahXBCkEaIeIiMjwFQBcGXWFyMiBPBsbCCLfJHP0NyqSPOByEzjDH5EvW9vvHULwLrxX
Aussichtspunkt ,48.097173,7.897977,http://lh5.ggpht.com/VbZ2-XMlpx0CnZs4rcpDHE6rl_wjL_KMlmLVKLkIURw7ywTDTa6yxqXFXzsHkZyzAB6Gne-v9XbEHU4ly3zq
Altes Holzsägewerk,48.096382,7.900566,http://lh3.ggpht.com/py90lHvC9S9izHGkaaLKzNeAaW7J-P-KkKDQKkrd74IVUcDBbkVCuMKVCk08GhGosBZaV94M_i3TG8ZwLRA
Wassermer Brunnen,48.095118,7.859473,http://lh3.ggpht.com/MUIdvjDw6qQvRag6fKCABSe6wanXhL3nIZZbAsCfbfneH9wYinGFiuJIVzwIPv0fXks0qMQ22aKu3eMV6g81
Buchholzer Schloss,48.080613,7.914796,http://lh3.ggpht.com/ZTVDgj2T8-lWrs2RWvsNUqVwsP3gTj_QAs7ch2f--wygcpXogvvlCIJRd_WtY7xTxtAQZ7RzJ7r6AzMrV5T0
Gedenkkreuz (Waldkirch-Buchholz),48.086034,7.909097,http://lh4.ggpht.com/XAk3w4nL9vCpviA423V7SfcskqGRpng80UBUi-v6En1NFYqR_L6LIMf8fw-FH5eWAK-xQ4FCNJtYYcfVQsDs4aEV4d9KQJyPpDXZBCg0iOL9305H8g
Weinlehrpfad Weißer Riesling,48.087444,7.918042,http://lh3.googleusercontent.com/DQ4fzo-yVk3jG1FY0TEnKW1eQZqqwl8UUHlqS2jYOuqKUVfvYRoM5avBgU3KofBjgCdvemJHBF9LdR3hzgY
Weinlehrpfad Daechle-Erziehung,48.087205,7.912075,http://lh3.ggpht.com/nfoUTDtzTuTbHCLBX1TQ4ziiiKZnnoz_I82jn2H0gv76h6T8TwtOWK3Vsr8MPQJZOuZzuw2zauB49PMl45OS
St. Pankratius Kirche,48.081322,7.917595,http://lh6.ggpht.com/EohhGqV8BNxxOmDVhkbbGNyZ__IhSPCsQEExg5J4rAdW15dK36L_kIA9afH9n9Q3L3LXtLNZXLN_Yhgtl33v
Buchholzer Weinlehrpfad,48.086262,7.918316,http://lh3.googleusercontent.com/JirQleJXY4BGErLGkLLlWdK-chiwWWgG4ps7TiWvzvvAMbweGYvS6778pHyUuwkzvJUmdILZLGDKR_Nl_qb2Nw
